Tavg,ff_avg,Sea level (cm),diff RR
27.2,3.0,171.0763889,96.4
26.7,2.0,167.5804196,-133.70000000000002
27.0,2.0,170.3793103,2.5
27.5,3.0,176.5310345,28.1
29.2,4.0,179.5915493,-29.8
29.2,3.0,184.8951049,0.0
27.5,4.0,183.9370629,-1.5
28.9,3.0,185.6549296,3.8
29.6,3.0,188.2535211,-3.8
28.3,1.0,184.7175573,0.0
28.9,1.0,188.0496454,0.0
29.4,1.0,191.6993007,0.0
29.3,2.0,189.6642857,0.0
29.3,4.0,186.6595745,0.0
29.0,3.0,185.5594406,0.0
27.5,3.0,184.0,1.5
27.8,2.0,176.0070922,1.5
27.5,3.0,176.6013986,1.5
28.4,2.0,176.8142857,-4.3
28.2,3.0,184.862069,0.7
28.9,4.0,187.0214286,-0.9
28.3,5.0,183.2183099,0.0
28.8,5.0,178.8881119,0.4
27.0,4.0,180.2253521,0.4
28.3,3.0,181.0699301,1.9999999999999998
27.5,2.0,178.5034965,2.0
25.8,2.0,183.4615385,25.7
27.3,3.0,191.1118881,-18.4
28.2,2.0,179.3541667,-6.05
28.1,3.0,183.7013889,-6.05
27.5,1.0,180.013986,0.4
28.0,2.0,181.0833333,82.1
26.5,1.0,179.2797203,-66.4
28.2,3.0,185.2758621,-15.900000000000002
29.0,4.0,184.0211268,-0.2
29.3,4.0,183.3888889,0.0
28.1,2.0,188.7430556,0.0
27.5,2.0,183.9444444,30.8
27.0,4.0,190.9513889,-30.5
28.3,2.0,188.8732394,9.7
27.9,3.0,194.062069,-5.1
25.2,3.0,184.3680556,29.1
28.2,3.0,176.0902778,-32.0
27.3,4.0,180.7801418,-1.9
28.7,4.0,179.6783217,-0.1
27.3,3.0,178.337931,1.0
26.9,2.0,182.1448276,15.3
27.7,2.0,180.0337838,-15.9
27.9,3.0,182.3125,2.1
27.9,4.0,185.7708333,-2.3
27.7,3.0,187.8611111,2.0999999999999996
27.8,2.0,184.8251748,10.7
27.3,3.0,180.9793103,72.1
26.0,2.0,185.6369863,-24.599999999999994
27.5,4.0,178.1780822,-5.799999999999997
27.1,4.0,179.048951,-37.400000000000006
27.8,4.0,180.6760563,29.2
26.9,3.0,172.0972222,-31.5
26.7,2.0,170.6369863,-4.0
25.1,2.0,172.6896552,48.4
27.4,1.0,178.3333333,-48.599999999999994
27.0,3.0,175.6363636,0.8999999999999986
27.2,3.0,170.6267606,-11.1
28.5,4.0,170.8661972,0.9
28.1,2.0,178.5177305,19.25
26.8,2.0,171.8014184,19.25
27.0,1.0,169.8088235,-24.4
28.3,2.0,174.5070423,-9.1
28.4,1.0,178.4895833,-3.25
28.7,2.0,172.8333333,-3.25
28.5,2.0,174.2013889,8.1
27.1,3.0,188.0068966,8.1
24.8,0.0,187.062069,20.2
27.6,1.0,191.2198582,-17.9
28.7,1.0,191.8194444,-18.5
28.6,2.0,192.3541667,0.0
28.9,1.0,196.6827586,0.0
29.1,2.0,194.6692308,0.2
28.9,1.0,194.6241135,0.2
29.2,1.0,201.3546099,-0.4
29.7,2.0,203.958042,0.0
29.9,1.0,204.9929078,0.0
28.6,3.0,201.8263889,0.0
27.4,2.0,190.3591549,3.2
27.8,1.0,192.4042553,-0.6750000000000003
27.7,1.0,191.1285714,-0.6749999999999998
27.7,1.0,193.952381,-0.675
27.4,2.0,189.2167832,-0.675
28.5,4.0,188.4482759,13.9
28.4,4.0,185.8461538,-7.1000000000000005
28.4,2.0,191.5833333,-7.1
28.5,3.0,192.3028169,-0.2
28.7,3.0,188.971223,0.5
28.8,2.0,196.3472222,-0.166666667
29.7,2.0,194.2605634,-0.16666666600000002
29.2,2.0,192.2666667,-0.166666667
30.2,1.0,197.2112676,0.0
29.0,3.0,192.8041958,0.0
28.8,4.0,181.6595745,0.0
28.9,6.0,182.0821918,2.0
29.4,4.0,154.9411765,-1.4
29.6,3.0,182.5942029,5.466666667
28.5,2.0,186.8892857,5.466666663
29.3,2.0,194.4285714,5.46666667
28.9,2.0,191.5714286,-2.0
29.2,2.0,194.0427046,-2.0
28.8,2.0,198.25,3.8999999999999986
29.3,2.0,203.5071942,-16.9
29.6,1.0,207.8201439,0.25
29.4,2.0,204.1533101,0.25
30.3,3.0,205.6156716,-0.5
30.0,2.0,209.6714801,0.0
30.0,2.0,209.7042254,7.25
29.2,2.0,208.2616487,7.25
29.2,2.0,202.7075812,-0.93333333
29.9,2.0,205.8981818,-0.9333333400000008
29.3,1.0,204.7035714,-0.93333333
29.3,1.0,202.5609756,-5.85
29.2,1.0,200.9184397,-5.85
29.1,1.0,207.3052632,0.0
29.5,2.0,207.4321429,0.0
30.2,2.0,212.2,10.85
29.4,2.0,206.0780142,10.85
29.8,2.0,205.3052632,-20.2
28.9,1.0,208.5776173,69.0
28.7,1.0,201.8535714,-17.625
29.2,1.0,199.816609,-17.625
30.7,2.0,197.6933798,-17.625
30.3,3.0,209.010453,-17.625
29.4,5.0,218.0530035,0.0
31.0,4.0,216.2229965,0.0
29.8,2.0,218.6428571,0.0
29.9,1.0,215.1342756,5.0
29.3,1.0,216.1293706,-2.5
29.8,2.0,219.5971731,-2.5
29.7,3.0,203.7719298,0.0
29.0,2.0,185.4,0.0
30.1,2.0,178.0625,0.0
29.6,2.0,178.9387755,0.0
29.8,2.0,185.1891892,1.2
29.5,1.0,179.7464789,1.2
29.6,2.0,174.3216783,-1.2
29.5,2.0,174.5443038,-1.2
29.6,2.0,180.6081081,0.0
30.4,3.0,179.5815603,5.533333333
29.6,2.0,179.7543253,5.533333337
28.8,1.0,182.0462633,5.533333330000001
29.9,2.0,180.4574468,-16.6
29.8,2.0,185.9222615,0.0
30.0,2.0,187.0138889,0.0
29.4,2.0,188.7587413,0.0
30.1,3.0,186.2283737,0.0
30.1,2.0,189.358156,0.0
29.6,2.0,185.334507,0.0
29.4,2.0,185.1157895,0.0
28.2,1.0,184.7142857,3.0
30.5,3.0,177.2280702,-1.0
30.0,3.0,170.0070922,-1.0
29.8,2.0,168.6408451,-1.0
29.6,2.0,170.4842105,0.0
29.1,2.0,171.7972028,0.0
30.1,3.0,182.5602837,0.0
30.1,2.0,171.0035336,0.0
30.0,2.0,167.5173611,0.0
29.7,2.0,162.2326389,0.0
26.5,1.0,164.7192982,3.7
28.1,1.0,161.0,9.7
28.8,2.0,174.1713287,1.299999999999999
27.9,1.0,175.5428571,1.3000000000000007
28.7,3.0,161.9222615,1.3000000000000007
29.5,2.0,159.7337662,-17.3
29.6,2.0,160.1349693,0.0
29.8,2.0,164.0725389,0.0
28.7,1.0,171.4757282,3.5
28.8,2.0,181.7988827,-1.5
28.5,1.0,179.814433,-0.5
28.8,2.0,174.9485981,8.0
28.8,2.0,169.3314917,-9.5
28.9,1.0,167.3670886,36.7
29.2,2.0,167.3396947,-18.35
29.5,1.0,165.4945848,-18.35
29.4,1.0,166.5813149,0.0
29.3,1.0,160.5229682,0.0
29.2,3.0,163.4358974,0.0
29.4,1.0,163.1478873,0.0
27.9,1.0,166.4548872,0.0
27.3,1.0,170.1236364,5.5
28.2,2.0,172.5642857,-1.2000000000000002
28.9,4.0,184.1598639,-4.3
29.3,4.0,182.4416961,0.0
28.9,2.0,189.6620209,0.0
29.2,1.0,174.4471831,1.5
29.2,1.0,169.3566434,-1.5
29.4,2.0,166.8095238,0.0
29.2,1.0,174.409396,0.0
29.1,2.0,176.7142857,0.0
29.0,2.0,180.6955017,0.0
29.0,3.0,180.547619,0.0
29.1,2.0,169.9383562,0.0
28.4,1.0,169.3986014,0.0
29.0,1.0,168.4163823,0.0
29.1,2.0,171.1314879,0.0
28.9,3.0,175.7737226,0.0
28.5,1.0,176.5,0.0
28.3,1.0,176.7951389,0.0
28.2,0.0,173.8661972,0.4
28.9,2.0,171.4055944,-0.4
29.0,3.0,169.9206897,0.0
28.6,3.0,178.0034602,0.0
28.7,3.0,168.9377163,0.0
28.4,3.0,176.0555556,0.0
29.0,4.0,184.2013889,0.0
29.7,2.0,188.6188811,0.0
30.0,3.0,187.6401384,0.0
29.5,3.0,188.1538462,0.0
29.3,2.0,179.1678322,0.0
28.9,1.0,180.1637631,0.0
29.3,2.0,180.8919861,0.0
29.0,3.0,179.5714286,0.0
29.0,4.0,195.2412587,0.0
28.5,2.0,169.7032967,0.0
28.8,2.0,168.7839721,0.0
28.5,2.0,183.6048951,0.0
27.9,2.0,168.8531469,0.0
28.6,3.0,171.6431095,0.0
28.4,2.0,175.4230769,0.0
28.7,2.0,180.9789474,0.0
28.2,2.0,181.0,0.0
28.7,2.0,178.3356643,0.0
28.6,3.0,185.6111111,0.0
29.3,3.0,186.9178571,0.0
29.3,3.0,177.2152778,0.0
29.0,2.0,169.4381625,0.0
28.8,3.0,169.7832168,0.0
29.2,3.0,167.3601399,0.0
28.9,2.0,178.1957295,0.0
28.9,2.0,156.804878,0.0
29.3,2.0,165.4791667,0.0
28.9,2.0,162.9122807,0.0
28.9,3.0,156.7553191,0.0
28.6,3.0,157.4929577,0.0
28.5,1.0,158.3031359,0.0
28.2,1.0,160.7013889,0.0
29.1,3.0,162.3763066,0.1
29.1,2.0,163.1289199,0.1
28.3,2.0,164.486014,-0.2
28.2,3.0,150.9263158,0.0
28.9,2.0,157.9965035,0.0
28.8,2.0,146.3801653,0.0
29.1,3.0,154.7643312,0.0
29.1,2.0,146.0118343,0.0
28.9,2.0,149.9362745,0.0
29.8,2.0,148.7488584,0.0
29.8,3.0,148.718593,0.0
29.2,2.0,153.7868217,0.0
28.9,2.0,158.6,0.0
29.5,3.0,161.75,0.0
29.1,2.0,164.7365854,0.0
29.1,2.0,166.4653465,0.0
29.3,1.0,165.8737374,0.0
29.8,2.0,166.3880597,0.0
29.5,2.0,164.6960784,0.0
29.3,2.0,172.3718593,1.25
29.0,2.0,156.6482412,1.25
29.1,2.0,154.8263158,-2.5
29.3,1.0,157.4803922,0.0
29.2,2.0,157.7698413,0.0
29.6,2.0,155.8498024,0.0
29.5,3.0,160.9809886,0.0
30.3,4.0,170.0703518,0.0
30.8,2.0,177.2833333,0.0
29.5,2.0,166.9756098,0.0
29.3,2.0,166.125,0.0
29.5,2.0,173.2535211,0.0
29.5,2.0,172.4755245,0.0
29.3,3.0,172.2847222,0.0
29.8,3.0,179.6783217,0.0
30.1,1.0,168.0422535,0.0
30.1,2.0,161.006993,0.0
30.0,3.0,173.7916667,0.0
29.8,3.0,179.0,0.0
30.5,3.0,167.822695,0.0
30.3,2.0,180.3758865,0.0
30.3,2.0,177.5314685,0.0
30.6,2.0,170.8951049,0.0
30.4,2.0,173.5833333,0.0
30.9,3.0,176.8661972,0.0
30.1,2.0,176.3450704,0.0
31.0,3.0,179.1319444,0.0
30.6,3.0,175.9583333,0.0
30.0,3.0,176.7972028,0.0
29.7,2.0,159.0763889,0.0
30.0,2.0,177.7430556,0.0
30.4,1.0,174.0138889,0.0
30.15,1.5,162.2657343,0.0
29.9,2.0,171.7692308,0.0
30.2,2.0,168.8263889,0.0
30.3,1.0,167.020979,0.0
29.9,2.0,175.6436782,0.0
30.3,3.0,180.4545455,0.0
29.7,1.0,172.4666667,0.0
31.0,2.0,169.8020833,0.0
30.6,2.0,175.924812,0.0
30.2,2.0,181.9318182,2.5
30.8,1.0,170.1058824,-2.5
30.8,2.0,168.7640449,0.0
28.9,2.0,171.275,0.0
29.3,2.0,170.5283019,7.5
30.3,2.0,173.5473684,-7.3
30.6,2.0,170.372549,-0.2
30.8,2.0,171.1330645,0.0
30.3,2.0,168.6244726,0.0
29.6,2.0,169.0869565,0.0
29.4,2.0,173.5533597,10.7
30.2,1.0,179.0375587,-10.7
31.3,2.0,178.2663934,0.0
29.4,2.0,176.1806723,0.0
29.9,1.0,176.3390558,31.2
30.0,1.0,180.737069,-31.2
30.3,2.0,180.0695652,29.5
29.9,1.0,177.5363636,-9.833333329999999
30.4,2.0,185.4117647,-9.833333337000001
31.2,2.0,185.9276018,-9.833333333
30.4,2.0,184.9606299,0.0
30.7,2.0,193.0759494,30.5
29.6,1.0,185.2343096,-15.25
28.6,1.0,183.9759036,-15.25
26.1,1.0,182.7623318,26.0
29.0,1.0,174.0817308,9.5
28.3,1.0,163.1422222,-23.5
29.5,2.0,164.0557491,-5.9
29.3,2.0,172.9547038,-5.8999999999999995
28.4,1.0,174.0381944,18.1
27.2,2.0,155.6478873,-15.3
29.5,2.0,168.9930314,-1.5
28.8,2.0,174.8819444,0.3999999999999999
27.0,1.0,161.0105263,0.3999999999999999
29.7,2.0,169.8566434,-1.15
29.7,2.0,168.2777778,-1.15
29.4,2.0,164.0766551,0.0
29.8,2.0,161.1013986,0.0
29.2,1.0,159.2125436,0.0
29.1,2.0,157.5087719,0.0
30.4,2.0,160.6458333,0.0
30.3,2.0,167.71777,0.0
30.6,2.0,154.306338,0.0
30.9,2.0,165.1121076,0.0
30.8,2.0,160.7847222,0.0
30.5,3.0,166.5902778,0.0
30.4,2.0,165.5874126,0.0
30.7,3.0,166.8111888,0.0
30.3,3.0,166.2657343,0.0
30.2,2.0,157.7430556,0.0
30.1,2.0,159.2152778,0.0
30.0,2.0,154.4444444,0.0
31.0,2.0,151.7272727,0.0
30.7,2.0,156.9857143,0.0
29.0,1.0,155.983871,0.0
28.8,1.0,152.115942,0.0
29.4,1.0,154.0547945,0.0
30.4,2.0,145.9878049,0.0
29.8,1.0,150.5714286,0.0
29.7,1.0,164.0652174,0.1
29.1,2.0,161.6714286,0.1
29.8,1.0,158.826087,0.6000000000000001
30.0,3.0,157.25,1.6500000000000001
27.9,2.0,156.9230769,1.6499999999999995
26.7,2.0,171.8983051,6.700000000000001
28.3,2.0,169.66,67.60000000000001
28.6,1.0,174.5641026,-77.60000000000001
28.5,1.0,170.5882353,-0.4
28.7,1.0,166.4038462,-0.4
29.4,2.0,166.7850467,0.0
29.5,3.0,161.2986111,0.0
28.1,2.0,167.4895105,0.0
29.0,3.0,163.8531469,12.8
28.4,3.0,163.2264151,-12.8
29.5,3.0,177.6028369,10.5
29.6,3.0,176.1805556,-10.5
30.0,5.0,178.1458333,0.0
28.5,3.0,176.6143498,0.0
28.4,3.0,172.6724739,13.8
26.3,4.0,162.5684211,-8.600000000000001
30.5,5.0,163.5284553,2.5999999999999996
28.6,5.0,161.2222222,-7.8
29.7,5.0,161.2727273,2.8
30.3,4.0,159.7569444,-2.8
29.7,4.0,169.4603175,0.0
29.8,3.0,168.4475524,0.0
29.0,3.0,173.7482517,0.0
26.4,1.0,166.7777778,13.5
27.2,1.0,173.2535211,25.799999999999997
27.5,1.0,172.5972222,-6.899999999999999
27.1,2.0,176.6901408,-10.099999999999998
28.0,1.0,177.0218978,121.7
28.1,2.0,173.6875,-142.0
28.2,3.0,168.3776224,18.0
28.1,4.0,167.8041958,21.5
28.4,2.0,162.8439716,-41.5
28.5,1.0,162.6853147,0.5
26.7,2.0,166.9440559,3.5
28.7,2.0,164.5492958,3.5
29.5,2.0,171.3120567,-3.75
29.5,4.0,181.7887324,-3.75
28.8,2.0,181.0425532,18.0
29.0,2.0,172.7916667,15.799999999999997
28.7,2.0,178.2587413,-25.599999999999998
28.9,2.0,175.7676056,3.3000000000000007
28.3,0.0,177.979021,117.5
28.9,2.0,176.5104895,-119.8
28.3,1.0,174.4405594,-9.0
28.5,2.0,175.8417266,1.2
29.0,1.0,169.4225352,0.0
29.9,1.0,172.7552448,-0.7
30.4,2.0,170.5611511,-0.7
29.6,2.0,171.2827586,0.0
29.9,2.0,165.4444444,0.0
30.3,3.0,160.9230769,0.0
29.2,3.0,168.0070423,0.0
28.7,2.0,166.056338,0.2
29.1,2.0,164.4685315,25.1
29.4,2.0,164.9310345,-25.3
27.7,1.0,155.7552448,37.0
26.3,1.0,171.4,105.1
29.4,2.0,165.0909091,-109.6
